PSPID,PlotMeas,SpeciesCode,Location,Exclude,Status,Age,Stocking,MDH,BA,TSV
PSP-007,PSP-007 18,EP,Momen,FALSE,Closed,1.5,1160,7.5,4.362981045,11.78004882
PSP-007,PSP-007 24,EP,Momen,FALSE,Closed,1.98,1160,10,6.372437954,22.94077664
PSP-007,PSP-007 36,EP,Momen,FALSE,Closed,3.07,960,17.35,12.65578034,79.04800401
PSP-007,PSP-007 48,EP,Momen,FALSE,Closed,4.01,840,26.9,10.85706147,105.1397833
PSP-008,PSP-008 6,EP,Momen,TRUE,Closed,0.5,1160,2.9,0,0
PSP-008,PSP-008 12,EP,Momen,TRUE,Closed,1.01,1120,7.29,2.937137804,7.708224452
PSP-008,PSP-008 18,EP,Momen,TRUE,Closed,1.5,1120,9.2,5.143226997,17.03436781
PSP-008,PSP-008 24,EP,Momen,TRUE,Closed,1.98,1120,10,7.275771506,26.19277742
PSP-008,PSP-008 36,EP,Momen,TRUE,Closed,3.07,1200,16.15,15.89982033,92.44155541
PSP-008,PSP-008 48,EP,Momen,TRUE,Closed,4.01,1120,17.55,7.275771506,45.96832438
PSP-009,PSP-009 6,EP,Furif,TRUE,Open,0.5,1120,3.2,0,0
PSP-009,PSP-009 12,EP,Furif,TRUE,Open,1.02,1080,7.205,3.281173615,8.510708123
PSP-009,PSP-009 18,EP,Furif,TRUE,Open,1.48,1080,9.55,5.183627878,17.82131265
PSP-009,PSP-009 24,EP,Furif,TRUE,Open,2.02,1040,11.8,8.28836965,35.20899427
PSP-009,PSP-009 36,EP,Furif,TRUE,Open,3.05,1040,16.75,13.75514927,82.94355013
PSP-009,PSP-009 48,EP,Furif,TRUE,Open,4.05,960,21.7,11.44903177,89.4398362
PSP-010,PSP-010 6,EP,Furif,FALSE,Open,0.5,1080,2.975,0,0
PSP-010,PSP-010 12,EP,Furif,FALSE,Open,1.02,1120,7.335,2.782948436,7.348653641
PSP-010,PSP-010 18,EP,Furif,FALSE,Open,1.48,1080,10.075,5.332476538,19.3408924
PSP-010,PSP-010 24,EP,Furif,FALSE,Open,2.02,1080,12.95,6.713614917,31.29887274
PSP-010,PSP-010 36,EP,Furif,FALSE,Open,3.05,960,22.3,17.55151267,140.9035437
PSP-010,PSP-010 48,EP,Furif,FALSE,Open,4.05,840,27.45,11.84666315,117.0687253
PSP-011,PSP-011 6,EP,Bampu,FALSE,Open,0.6,1200,2.89,0,0
PSP-011,PSP-011 12,EP,Bampu,FALSE,Open,1,1200,7.01,3.15265106,7.956030214
PSP-011,PSP-011 18,EP,Bampu,FALSE,Open,1.5,1200,9.55,6.066760989,20.85752428
PSP-011,PSP-011 24,EP,Bampu,FALSE,Open,2,1160,12.25,7.342059111,32.37848068
PSP-011,PSP-011 36,EP,Bampu,FALSE,Open,3,1160,17.8,11.67990742,74.84484672
PSP-011,PSP-011 48,EP,Bampu,FALSE,Open,4.02,880,29.5,10.37020885,110.131618
PSP-013,PSP-013 6,EP,Umi ,FALSE,Open,0.61,1200,3.15,0,0
PSP-013,PSP-013 12,EP,Umi ,FALSE,Open,1.04,1200,6.025,2.295561752,4.97907344
PSP-013,PSP-013 18,EP,Umi ,FALSE,Open,1.58,1120,6.045,2.452955544,5.338121855
PSP-013,PSP-013 24,EP,Umi ,FALSE,Open,1.96,1120,6.975,3.097359029,7.777468522
PSP-013,PSP-013 36,EP,Umi ,FALSE,Open,3.24,1120,13.05,6.92275074,32.52308297
PSP-014,PSP-014 6,EP,Umi ,FALSE,Open,0.61,1200,3.3,0,0
PSP-014,PSP-014 12,EP,Umi ,FALSE,Open,1.04,1200,5.75,2.065974161,4.276566513
PSP-014,PSP-014 18,EP,Umi ,FALSE,Open,1.58,880,0,1.798373299,0
PSP-014,PSP-014 24,EP,Umi ,FALSE,Open,1.96,960,6.14,2.287142284,5.055499304
PSP-014,PSP-014 36,EP,Umi ,FALSE,Open,3.24,920,14.1,5.120293371,25.99060915
PSP-019,PSP-019 6,AC,Atsuaf,FALSE,Closed,0.59,1244.444444,1.98,0,0
PSP-019,PSP-019 12,AC,Atsuaf,FALSE,Closed,1,844.4444444,3.65,1.219287015,1.602143138
PSP-019,PSP-019 18,AC,Atsuaf,FALSE,Closed,1.5,444.4444444,4.295,1.029674446,1.592082628
PSP-019,PSP-019 24,AC,Atsuaf,FALSE,Closed,2.03,444.4444444,4.775,1.285853873,2.210382808
PSP-021,PSP-021 6,EP,Atsuaf,FALSE,Closed,0.58,1080,2.08,0,0
PSP-021,PSP-021 12,EP,Atsuaf,FALSE,Closed,1,1080,4.45,1.080676457,1.731243684
PSP-021,PSP-021 18,EP,Atsuaf,FALSE,Closed,1.56,160,6.4,0.345889351,0.796929065
PSP-022,PSP-022 6,AC,Ngaroraf ,FALSE,Closed,0.48,1244.444444,1.585,0,0
PSP-022,PSP-022 12,AC,Ngaroraf ,FALSE,Closed,1,1200,3.735,0.668740356,0.899188283
PSP-022,PSP-022 18,AC,Ngaroraf ,FALSE,Closed,1.5,577.7777778,4.77,1.142736874,1.962307761
PSP-022,PSP-022 24,AC,Ngaroraf ,FALSE,Closed,1.99,1244.444444,8.15,3.015091189,8.84627755
PSP-022,PSP-022 36,AC,Ngaroraf ,FALSE,Closed,2.88,1111.111111,15.25,9.731886096,53.42805467
PSP-022,PSP-022 48,AC,Ngaroraf ,FALSE,Closed,4,533.3333333,16.95,6.734318012,41.09280851
PSP-023,PSP-023 6,AC,Ngaroraf ,FALSE,Closed,0.48,1288.888889,1.95,0,0
PSP-023,PSP-023 12,AC,Ngaroraf ,FALSE,Closed,1,1288.888889,4.87,1.945134545,3.410209884
PSP-023,PSP-023 18,AC,Ngaroraf ,FALSE,Closed,1.5,666.6666667,4.345,0.935356853,1.463085189
PSP-023,PSP-023 24,AC,Ngaroraf ,FALSE,Closed,1.99,888.8888889,5.9,3.217723916,6.834445597
PSP-023,PSP-023 36,AC,Ngaroraf ,FALSE,Closed,3,888.8888889,9.05,10.67579506,34.78174031
PSP-023,PSP-023 48,AC,Ngaroraf ,FALSE,Closed,4,977.7777778,21.7,13.31103279,103.9857882
PSP-024,PSP-024 6,AC,Koya ,FALSE,Open,0.5,1224.311325,2.9,0,0
PSP-024,PSP-024 12,AC,Koya ,FALSE,Open,1,1224.311325,7.025,4.193071489,10.6042778
PSP-024,PSP-024 18,AC,Koya ,FALSE,Open,1.51,1180.58592,10.15,9.551155977,34.89992394
PSP-024,PSP-024 24,AC,Koya ,FALSE,Open,1.99,1180.58592,12.75,13.20330895,60.60318808
PSP-024,PSP-024 36,AC,Koya ,FALSE,Open,3.01,1136.860516,21.6,19.34418162,150.4203563
PSP-024,PSP-024 60,AC,Koya ,FALSE,Open,5.02,743.3318758,24.95,11.88313946,106.7343586
PSP-025,PSP-025 6,EP,Koya ,FALSE,Open,0.5,1000,2.39,0,0
PSP-025,PSP-025 12,EP,Koya ,FALSE,Open,1,1000,5.975,0,0
PSP-025,PSP-025 18,EP,Koya ,FALSE,Open,1.51,1000,9.35,4.359462462,14.67395065
PSP-025,PSP-025 24,EP,Koya ,FALSE,Open,1.99,1000,12.35,6.425499454,28.56777057
PSP-025,PSP-025 36,EP,Koya ,FALSE,Open,3.01,960,15.15,11.10845171,60.58549564
PSP-025,PSP-025 60,EP,Koya ,FALSE,Open,5.02,960,30.95,22.25736714,247.9915846
PSP-026,PSP-026 6,AC,Mangyang,FALSE,Open,0.54,1255.230126,2.13,0,0
PSP-026,PSP-026 12,AC,Mangyang,FALSE,Open,1.12,1255.230126,4.74,0.842117713,1.436989665
PSP-026,PSP-026 18,AC,Mangyang,FALSE,Open,1.62,1255.230126,6.15,3.947200853,8.739102689
PSP-026,PSP-026 24,AC,Mangyang,FALSE,Open,2.1,1255.230126,7.765,5.5478686,15.50851188
PSP-026,PSP-026 36,AC,Mangyang,FALSE,Open,3.07,1255.230126,11.1,11.78866212,47.10749384
PSP-027,PSP-027 6,EP,RAIL (AS307),FALSE,Open,0.5,1160,3.38,0,0
PSP-027,PSP-027 12,EP,RAIL (AS307),FALSE,Open,1.02,1160,6.45,2.919953292,6.780131544
PSP-027,PSP-027 18,EP,RAIL (AS307),FALSE,Open,1.5,1120,9.3,5.919703037,19.81916577
PSP-027,PSP-027 24,EP,RAIL (AS307),FALSE,Open,2,1080,10.95,8.417866099,33.18322816
PSP-027,PSP-027 36,EP,RAIL (AS307),FALSE,Open,2.93,1040,16.85,14.03047845,85.10888231
PSP-027,PSP-027 48,EP,RAIL (AS307),FALSE,Open,4.03,960,19.3,17.50844143,121.6486511
PSP-028,PSP-028 6,EP,RAIL (AS307),FALSE,Open,0.5,1120,2.48,0,0
